City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
350,Yacuiba,BO,-22.038,-63.6797,89.55,47,4.23,light rain
351,Bilma,NE,18.6853,12.9164,62.49,27,5.91,few clouds
352,Kapuskasing,CA,49.4169,-82.4331,3.2,78,8.05,overcast clouds
353,Saint-Augustin,CA,51.226,-58.6502,15.85,91,12.48,clear sky
354,Langham,CA,52.3668,-106.9679,10.4,79,6.91,broken clouds
355,Dolinsk,RU,47.35,142.8,24.8,68,17.9,snow
356,Ribeira Grande,PT,38.5167,-28.7,60.8,77,10.36,few clouds
357,Edeia,BR,-17.3383,-49.9314,77.72,69,3.49,overcast clouds
358,Macamic,CA,48.7502,-78.9996,5.0,72,10.36,light snow
359,Uruzgan,AF,32.8333,66.0,37.22,61,5.84,few clouds
360,Madang,PG,-5.2246,145.7966,78.24,89,6.51,overcast clouds
361,Laguna,US,38.421,-121.4238,52.0,71,3.44,overcast clouds
362,La Ronge,CA,55.1001,-105.2842,8.6,85,5.75,overcast clouds
363,Shingu,JP,33.7333,135.9833,34.7,82,7.52,clear sky
364,Saldanha,ZA,-33.0117,17.9442,64.74,89,11.63,clear sky
365,Arkadelphia,US,34.1209,-93.0538,53.6,47,3.44,overcast clouds
